Title,Subtitle,Inclusions,Pricing,Type,Description,Enquire for Pricing,Icon,Display Order,Delivery Options,Group Size Info,Live,Included In,Requires Vendor
Extra Meals for your Stay,Pre-stocked meals and fridge items for your stay.,,,Enhancement,We can assist with stocking your fridge prior to your arrival and provide additional items such as pre-prepared breakfasts and lunches for your convenience.,,,17,,,,Weekly,No
Specialty Cocktails,Custom chef-crafted mixers for your celebration.,,,Enhancement,Let’s get your night started! Your chef can create custom mixers to bring and add to any liquor of your choice.,,,16,,,,Event,No
Rentals,We handle your rental needs with trusted partners.,,,Enhancement,"Connect with local rental companies that we trust, to take care of all your rental details.",,,15,,,,Event,Yes
Table-scape,Beautiful tablescapes designed by SB Picnic Co.,,,Enhancement,We work with Santa Barbara Picnic Co. to help bring your table decor to life!,,,14,,,,Event,Yes
Wine Pairings,Perfectly paired wines from Renegade Wines.,,,Enhancement,"Collaborating with Renegade Wines, a local wine shop, who knows exactly how to pair your delicious meal with great wines, within your desired budget.",,,18,,,,Event,Yes
Bartenders,Keep the drinks flowing with expert bar service.,,,Enhancement,Let us connect you with someone great to keep those tasty drinks coming!,,,13,,,,Event,Yes
