Service Name,Tagline,Description,Category,Included In,Requires Vendor?,Display Order
Extra Meals for your Stay,Pre-stocked meals and fridge items for your stay.,We can assist with stocking your fridge prior to your arrival and provide additional items such as pre-prepared breakfasts and lunches for your convenience.,Enhancement,Weekly,No,17
Specialty Cocktails,Custom chef-crafted mixers for your celebration.,Let’s get your night started! Your chef can create custom mixers to bring and add to any liquor of your choice.,Enhancement,Event,No,16
Rentals,We handle your rental needs with trusted partners.,"Connect with local rental companies that we trust, to take care of all your rental details.",Enhancement,Event,Yes,15
Table-scape,Beautiful tablescapes designed by SB Picnic Co.,We work with Santa Barbara Picnic Co. to help bring your table decor to life!,Enhancement,Event,Yes,14
Wine Pairings,Perfectly paired wines from Renegade Wines.,"Collaborating with Renegade Wines, a local wine shop, who knows exactly how to pair your delicious meal with great wines, within your desired budget.",Enhancement,Event,Yes,18
Bartenders,Keep the drinks flowing with expert bar service.,Let us connect you with someone great to keep those tasty drinks coming!,Enhancement,Event,Yes,13
